nbapersonid,player,draftyear,draftpick,season,nbateamid,team,games,games_start,mins,fgm,fga,fgp,fgm3,fga3,fgp3,fgm2,fga2,fgp2,efg,ftm,fta,ftp,off_reb,def_reb,tot_reb,ast,steals,blocks,tov,tot_fouls,points
76001,Alaa Abdelnaby,1990,25,1990,1610612757,POR,43,0.0,290.0,55,116,0.47413793103448276,0.0,0.0,0.0,55.0,116.0,0.47413793103448276,0.47413793103448276,25,44,0.5681818181818182,27.0,62.0,89.0,12,4.0,12.0,22.0,39,135
76001,Alaa Abdelnaby,1990,25,1991,1610612757,POR,71,1.0,934.0,178,361,0.4930747922437673,0.0,0.0,0.0,178.0,361.0,0.4930747922437673,0.4930747922437673,76,101,0.7524752475247525,81.0,179.0,260.0,30,25.0,16.0,66.0,132,432
76001,Alaa Abdelnaby,1990,25,1992,1610612749,MIL,12,0.0,159.0,26,56,0.4642857142857143,0.0,1.0,0.0,26.0,55.0,0.4727272727272727,0.4642857142857143,12,16,0.75,12.0,25.0,37.0,10,6.0,4.0,13.0,24,64
76001,Alaa Abdelnaby,1990,25,1992,1610612738,BOS,63,52.0,1152.0,219,417,0.5251798561151079,0.0,0.0,0.0,219.0,417.0,0.5251798561151079,0.5251798561151079,76,100,0.76,114.0,186.0,300.0,17,19.0,22.0,84.0,165,514
76001,Alaa Abdelnaby,1990,25,1993,1610612738,BOS,13,0.0,159.0,24,55,0.43636363636363634,0.0,0.0,0.0,24.0,55.0,0.43636363636363634,0.43636363636363634,16,25,0.64,12.0,34.0,46.0,3,2.0,3.0,17.0,20,64
76001,Alaa Abdelnaby,1990,25,1994,1610612758,SAC,51,0.0,476.0,117,220,0.5318181818181819,0.0,2.0,0.0,117.0,218.0,0.536697247706422,0.5318181818181819,20,35,0.5714285714285714,34.0,72.0,106.0,13,15.0,12.0,40.0,102,254
76001,Alaa Abdelnaby,1990,25,1994,1610612755,PHL,3,0.0,30.0,1,11,0.09090909090909091,0.0,0.0,0.0,1.0,11.0,0.09090909090909091,0.09090909090909091,0,0,0.0,3.0,5.0,8.0,0,0.0,0.0,5.0,2,2
76003,Kareem Abdul-Jabbar,1969,1,1983,1610612747,LAL,80,80.0,2622.0,716,1238,0.5783521809369951,0.0,1.0,0.0,716.0,1237.0,0.5788197251414713,0.5783521809369951,285,394,0.7233502538071066,169.0,418.0,587.0,211,55.0,143.0,221.0,211,1717
76003,Kareem Abdul-Jabbar,1969,1,1984,1610612747,LAL,79,79.0,2630.0,723,1207,0.5990057995028998,0.0,1.0,0.0,723.0,1206.0,0.599502487562189,0.5990057995028998,289,395,0.7316455696202532,162.0,460.0,622.0,249,63.0,162.0,197.0,238,1735
76003,Kareem Abdul-Jabbar,1969,1,1985,1610612747,LAL,79,79.0,2629.0,755,1338,0.5642750373692078,0.0,2.0,0.0,755.0,1336.0,0.5651197604790419,0.5642750373692078,336,439,0.765375854214123,133.0,345.0,478.0,280,67.0,130.0,203.0,248,1846
76003,Kareem Abdul-Jabbar,1969,1,1986,1610612747,LAL,78,78.0,2441.0,560,993,0.5639476334340383,1.0,3.0,0.3333333333333333,559.0,990.0,0.5646464646464646,0.5644511581067473,245,343,0.7142857142857143,152.0,371.0,523.0,203,49.0,97.0,186.0,245,1366
76003,Kareem Abdul-Jabbar,1969,1,1987,1610612747,LAL,80,80.0,2308.0,480,903,0.53156146179402,0.0,1.0,0.0,480.0,902.0,0.532150776053215,0.53156146179402,205,269,0.7620817843866171,118.0,360.0,478.0,135,48.0,92.0,159.0,216,1165
76003,Kareem Abdul-Jabbar,1969,1,1988,1610612747,LAL,74,74.0,1695.0,313,659,0.47496206373292865,0.0,3.0,0.0,313.0,656.0,0.4771341463414634,0.47496206373292865,122,165,0.7393939393939394,103.0,231.0,334.0,74,38.0,85.0,95.0,196,748
51,Mahmoud Abdul-Rauf,1990,3,1990,1610612743,DEN,67,19.0,1505.0,417,1009,0.4132804757185332,24.0,100.0,0.24,393.0,909.0,0.43234323432343236,0.4251734390485629,84,98,0.8571428571428571,34.0,87.0,121.0,206,55.0,4.0,110.0,149,942
51,Mahmoud Abdul-Rauf,1990,3,1991,1610612743,DEN,81,11.0,1538.0,356,845,0.421301775147929,31.0,94.0,0.32978723404255317,325.0,751.0,0.43275632490013316,0.4396449704142012,94,108,0.8703703703703703,22.0,92.0,114.0,192,44.0,4.0,117.0,130,837
51,Mahmoud Abdul-Rauf,1990,3,1992,1610612743,DEN,81,81.0,2710.0,633,1407,0.44989339019189767,70.0,197.0,0.3553299492385787,563.0,1210.0,0.4652892561983471,0.47476901208244493,217,232,0.9353448275862069,51.0,174.0,225.0,344,84.0,8.0,187.0,179,1553
